id,alt,date,InBurrow,x,y
tm2,59.89,14/11/2014 09:36,1,451779.9584,7973897.089
tm2,84.61,14/11/2014 19:10,0,451702.809,7973790.571
tm2,86.57,14/11/2014 19:32,0,451654.762,7973819.55
tm2,88.84,14/11/2014 19:54,0,451722.625,7973768.603
tm2,81.96,14/11/2014 20:12,0,451729.085,7973762.755
tm2,74.99,14/11/2014 20:27,0,451706.597,7973755.064
tm2,110.12,14/11/2014 20:31,0,451707.006,7973760.376
tm2,78.68999,14/11/2014 20:36,0,451699.279,7973765.447
tm2,101.2,14/11/2014 20:41,0,451696.837,7973770.309
tm2,97.93999,14/11/2014 20:46,0,451688.385,7973769.624
tm2,68.5,14/11/2014 20:50,0,451704.531,7973778.294
tm2,62.72,14/11/2014 20:55,0,451718.952,7973800.459
tm2,93.93,14/11/2014 21:00,0,451712.081,7973801.327
tm2,87.31,14/11/2014 21:04,0,451714.086,7973802.66
tm2,75.93999,14/11/2014 21:09,0,451725.368,7973812.314
tm2,44.81,14/11/2014 21:14,0,451715.267,7973837.184
tm2,93.34,14/11/2014 21:18,0,451710.392,7973842.703
tm2,62.52,14/11/2014 21:23,0,451715.244,7973846.256
tm2,130.47,14/11/2014 21:28,0,451700.571,7973882.4
tm2,65.68,14/11/2014 21:33,0,451704.611,7973872.673
tm2,98.09,14/11/2014 21:38,0,451703.417,7973885.284
tm2,134.2,14/11/2014 21:43,0,451685.616,7973904.491
tm2,89.93999,14/11/2014 21:48,1,451751.4623,7973908.224
tm2,88.05,15/11/2014 18:33,0,451696.5,7973899
tm2,127.69,15/11/2014 18:38,0,451687.6,7973901
tm2,112.58,15/11/2014 18:42,0,451683.3,7973866
tm2,88.98,15/11/2014 18:47,0,451671.8,7973824
tm2,102.29,15/11/2014 18:52,0,451661.4,7973802
tm2,86.12,15/11/2014 18:57,0,451669,7973802
tm2,105.17,15/11/2014 19:01,0,451659.3,7973793
tm2,67.93,15/11/2014 19:06,0,451669.9,7973786
tm2,103.28,15/11/2014 19:14,0,451673.5,7973783
tm2,109.7,15/11/2014 19:31,1,451689.8,7973762
tm2,101.66,15/11/2014 20:28,0,451673.5,7973758
tm2,85.25,15/11/2014 20:33,0,451662.2,7973747
tm2,74.71,15/11/2014 20:37,0,451669.5,7973746
tm2,102.48,15/11/2014 20:42,0,451693.7,7973758
tm2,81.71,15/11/2014 20:47,0,451704.9,7973760
tm2,81.54,15/11/2014 20:52,0,451707.8,7973752
tm2,81.9,15/11/2014 20:59,0,451721.9,7973761
tm2,82.32,15/11/2014 21:06,0,451716.2,7973779
tm2,82.27,15/11/2014 21:14,0,451706.5,7973800
tm2,82.67,15/11/2014 21:23,0,451722.1,7973846
tm2,82.45,15/11/2014 21:31,1,451750.8,7973907
tm2,72.03,16/11/2014 18:32,0,451757.1,7973857
tm2,89.12,16/11/2014 18:37,0,451781.3,7973842
tm2,97.98,16/11/2014 18:41,0,451795.1,7973803
tm2,90.6,16/11/2014 18:46,0,451826.3,7973758
tm2,87.18999,16/11/2014 18:51,0,451825.5,7973741
tm2,68.79,16/11/2014 18:56,0,451807.1,7973713
tm2,93.38,16/11/2014 19:01,0,451826.4,7973735
tm2,101.37,16/11/2014 19:06,0,451848.1,7973746
tm2,64.16,16/11/2014 19:11,0,451802.9,7973738
tm2,96.68999,16/11/2014 19:16,0,451817.1,7973729
tm2,80.59,16/11/2014 19:23,0,451832.4,7973735
tm2,93.37,16/11/2014 19:31,0,451819.9,7973741
tm2,82.38,16/11/2014 19:36,0,451802.6,7973744
tm2,106.27,16/11/2014 19:41,0,451850.6,7973727
tm2,109.25,16/11/2014 19:46,0,451832.4,7973720
tm2,132.28,16/11/2014 19:51,0,451904.6,7973704
tm2,88.27,16/11/2014 19:55,0,451807.4,7973722
tm2,71.34,16/11/2014 20:11,0,451785.3,7973715
tm2,59.55,16/11/2014 20:17,0,451786.5,7973711
tm2,81.73,16/11/2014 20:23,0,451773.1,7973725
tm2,86.5,16/11/2014 20:28,0,451778.4,7973740
tm2,66.54,16/11/2014 20:35,0,451774.7,7973746
tm2,77.35,16/11/2014 20:42,0,451782.8,7973745
tm2,63.32,16/11/2014 20:49,0,451788.4,7973741
tm2,97.68999,16/11/2014 20:57,0,451788.8,7973749
tm2,91.32,16/11/2014 21:04,0,451788,7973751
tm2,97.35,16/11/2014 21:09,0,451798.1,7973748
tm2,80.81,16/11/2014 21:13,0,451802.5,7973756
tm2,86.07,16/11/2014 21:18,0,451804.5,7973759
tm2,92.50999,16/11/2014 21:23,0,451838.4,7973755
tm2,91.12,16/11/2014 21:28,0,451850.1,7973753
tm2,93.32,16/11/2014 21:32,0,451852.9,7973752
tm2,89.21,16/11/2014 21:37,0,451850.1,7973755
tm2,76.54,16/11/2014 21:42,0,451845.6,7973761
tm2,98.3,16/11/2014 21:46,0,451852.1,7973759
tm2,77.21,16/11/2014 21:51,0,451866.2,7973757
tm2,91.43,16/11/2014 21:56,0,451879.9,7973762
tm2,86.79,16/11/2014 22:01,0,451865.8,7973778
tm2,97.09,16/11/2014 22:06,0,451866.5,7973781
tm2,103.91,16/11/2014 22:11,0,451857.2,7973784
tm2,97.93,16/11/2014 22:15,0,451831.7,7973832
tm2,114.12,16/11/2014 22:20,1,451815.2,7973859
tm2,77.17,17/11/2014 18:07,0,451831.5,7973914
tm2,101.73,17/11/2014 18:14,0,451819.8,7973924
tm2,85.1,17/11/2014 18:20,0,451825.1,7973911
tm2,89.29,17/11/2014 18:30,0,451823.1,7973921
tm2,98.71,17/11/2014 18:35,0,451834,7973915
tm2,84.61,17/11/2014 18:40,0,451820.6,7973919
tm2,92.13,17/11/2014 18:45,0,451820.2,7973924
tm2,89.07999,17/11/2014 18:49,0,451753.7,7973925
tm2,81.21,17/11/2014 18:54,0,451732.8,7973923
tm2,88.50999,17/11/2014 19:00,0,451657,7973887
tm2,96.07999,17/11/2014 19:06,0,451678.2,7973824
tm2,84.97,17/11/2014 19:11,0,451674.6,7973780
tm2,91.57,17/11/2014 19:16,0,451680.8,7973775
tm2,75.24,17/11/2014 19:21,0,451679.5,7973771
tm2,102.21,17/11/2014 19:25,1,451696.3,7973768
tm2,78.29,17/11/2014 20:30,0,451716.2,7973754
tm2,78.22,17/11/2014 20:40,0,451722.7,7973751
tm2,77.85,17/11/2014 20:50,0,451720.7,7973752
tm2,101.39,17/11/2014 21:00,0,451735.6,7973754
tm2,122.62,17/11/2014 21:09,0,451766.6,7973762
tm2,84.75999,17/11/2014 21:14,0,451809,7973772
tm2,69.46,17/11/2014 21:19,0,451834.2,7973818
tm2,93.36,17/11/2014 21:28,0,452036.3,7973938
tm2,117.32,17/11/2014 21:33,0,452104.6,7973979
tm2,98.00999,17/11/2014 21:37,0,452094.5,7974009
tm2,113.86,17/11/2014 21:42,0,452117.5,7974025
tm2,87.8,17/11/2014 21:47,0,452106.9,7974040
tm2,102.37,17/11/2014 21:52,0,452115.1,7974029
tm2,84.84,17/11/2014 21:56,0,452108.6,7974030
tm2,133.36,17/11/2014 22:01,0,452142.4,7974028
tm2,104.35,17/11/2014 22:06,0,452109.8,7974037
tm2,116.49,17/11/2014 22:11,0,452146.5,7974019
tm2,112.39,17/11/2014 22:16,0,452117,7974045
tm2,144.79,17/11/2014 22:20,0,452129.9,7974050
tm2,102.5,17/11/2014 22:30,0,452120.6,7974055
tm2,127.17,17/11/2014 22:35,0,452138.3,7974068
tm2,130.53,17/11/2014 22:39,0,452130.6,7974074
tm2,105.74,17/11/2014 22:44,0,452125.4,7974073
tm2,36.71,17/11/2014 22:49,0,452106.8,7974084
tm2,96.63,17/11/2014 22:54,0,452117.4,7974082
tm2,98.25,17/11/2014 22:59,0,452124.5,7974108
tm2,148.14,17/11/2014 23:05,0,452080.3,7974087
tm2,102.47,17/11/2014 23:10,0,452008.9,7974047
tm2,89.85,17/11/2014 23:20,0,451978.3,7974052
tm2,124.79,17/11/2014 23:24,0,451995.7,7974070
tm2,98.98,17/11/2014 23:29,0,451969.8,7974071
tm2,98.87,17/11/2014 23:35,0,451896.9,7974051
tm2,115.89,17/11/2014 23:41,0,451905.3,7974071
tm2,105.01,17/11/2014 23:46,0,451855.7,7974092
tm2,119.35,17/11/2014 23:53,0,451877,7974103
tm2,138.86,18/11/2014 00:08,0,451768.4,7974186
tm2,138.86,18/11/2014 00:24,1,451781.7,7974189
tm2,38.7,18/11/2014 02:27,0,451763.5,7974199
tm2,43.18,18/11/2014 02:32,0,451754.2,7974195
tm2,64.09,18/11/2014 02:36,0,451757.9,7974195
tm2,47.86,18/11/2014 02:41,1,451782.3,7974188
